Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Imported Analog EMG - Voltage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Sub Frame,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,0,0.0030899,-0.00976563,0.0462341,0.0333786,-0.0117493,-0.00705719,0.00240326,0.0101089,-0.00274658,0.00793457,-0.00888824,-0.0156021,-0.0118637,-0.00686646,-0.0206757,-0.0151062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,1,0.0220108,-0.0123215,0.0414658,0.0228119,-0.0121307,-0.00686646,0.00240326,0.0101089,-0.0019455,0.00648499,-0.0094223,-0.0165939,-0.0115204,-0.00587463,-0.0224304,-0.0147247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,2,0.017128,-0.0170517,0.0369263,0.0229645,-0.0135803,-0.00778198,0.00305176,0.0120163,-0.00144958,0.00770569,-0.00862122,-0.0151825,-0.0114059,-0.00640869,-0.022049,-0.016861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,3,0.0101471,-0.0114441,0.0356674,0.0231934,-0.0126266,-0.00682831,0.00320435,0.0104523,-0.00118256,0.00465393,-0.00972748,-0.0160217,-0.0109482,-0.00640869,-0.0220871,-0.0156403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,4,0.0150299,-0.00896454,0.0328827,0.0234985,-0.0130844,-0.00656128,0.00297546,0.0102997,-0.00209808,0.00648499,-0.00995636,-0.0154114,-0.0112915,-0.00663757,-0.0215912,-0.018158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,5,0.0138092,-0.0125885,0.0333786,0.0205231,-0.0111389,-0.00728607,0.00404358,0.0104904,-0.00205994,0.00339508,-0.00911713,-0.0160599,-0.0114059,-0.00663757,-0.0154114,-0.0151825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,6,0.00900269,-0.00892639,0.0306702,0.0199127,-0.0114441,-0.0069809,0.00339508,0.00976563,-0.00167847,0.00713348,-0.0101089,-0.0165939,-0.01091,-0.00614166,-0.0215912,-0.0149155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,7,0.00267029,-0.0115204,0.0379562,0.0259018,-0.0127411,-0.00713348,0.00320435,0.010643,-0.00225067,0.00686646,-0.00976563,-0.0157547,-0.0106812,-0.00587463,-0.0209808,-0.0177002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,8,0.00591278,-0.00980377,0.0531769,0.0237656,-0.0121689,-0.00705719,0.00347137,0.0112152,-0.00125885,0.0075531,-0.00808716,-0.0149536,-0.0108719,-0.00572205,-0.0209045,-0.0131607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,9,0.00659943,-0.0201416,0.0499344,0.0226212,-0.0115204,-0.00587463,0.00328064,0.0104523,-0.00297546,0.00751495,-0.00953674,-0.014801,-0.0111771,-0.00553131,-0.0230408,-0.0159073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,0,-0.000762939,-0.0191879,0.0444412,0.0243759,-0.00873566,-0.00679016,0.0043869,0.0103378,-0.00236511,0.00190735,-0.00976563,-0.0151825,-0.0104904,-0.00640869,-0.0219727,-0.0156403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,1,0.00759125,-0.0115585,0.0442123,0.0275421,-0.00480652,-0.00705719,0.00293732,0.0117111,-0.00225067,0.00808716,-0.00839233,-0.0159073,-0.012207,-0.00579834,-0.0224686,-0.0161743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,2,0.0112534,-0.0141144,0.0450134,0.0292587,-0.0111389,-0.00736237,0.0031662,0.0101471,-0.00183105,0.00740051,-0.0115204,-0.0156403,-0.0108337,-0.00518799,-0.0217438,-0.0146866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,3,0.00473022,-0.0156403,0.0421524,0.0231934,-0.0115585,-0.00545502,0.00293732,0.00965118,-0.0019455,0.00610352,-0.0134277,-0.0157166,-0.0114441,-0.00732422,-0.0218964,-0.0145721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,4,-0.0056076,-0.0146866,0.0416946,0.0153732,-0.0105667,-0.00640869,0.00286102,0.00869751,-0.00328064,0.0056839,-0.00843048,-0.0152588,-0.0112152,-0.00648499,-0.0219727,-0.015564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,5,-0.00259399,-0.0128555,0.0427628,0.0175476,-0.0139236,-0.0087738,0.00305176,0.00961304,-0.00152588,0.00732422,-0.0112152,-0.0157166,-0.00999451,-0.00576019,-0.0202942,-0.0124359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,6,0.0124741,-0.0146866,0.0502014,0.0203323,-0.0112534,-0.00686646,0.00297546,0.0119781,-0.00137329,0.0069046,-0.00457764,-0.0157166,-0.0104523,-0.00675201,-0.0209045,-0.00843048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,7,0.00785828,-0.0125122,0.0475311,0.0181961,-0.0140381,-0.00694275,0.00305176,0.00995636,-0.00240326,0.00549316,-0.00888824,-0.0152969,-0.0106049,-0.00640869,-0.019722,-0.0166702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,8,0.0114441,-0.0113297,0.0419617,0.0218964,-0.0126648,-0.00728607,0.00217438,0.0105667,-0.00179291,0.0111771,-0.0108337,-0.0154114,-0.0109863,-0.00545502,-0.0173569,-0.0151443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,9,0.0110626,-0.0130081,0.0331879,0.0214005,-0.0144958,-0.00785828,0.00339508,0.00915527,-0.00259399,0.00465393,-0.00869751,-0.0157928,-0.0115967,-0.00610352,-0.0207138,-0.0169373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,0,0.00797272,-0.0146103,0.0363541,0.0223541,-0.0129318,-0.00846863,0.00236511,0.00965118,-0.00114441,0.00576019,-0.0126266,-0.0154495,-0.0109482,-0.00579834,-0.0219727,-0.0165176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,1,0.0120544,-0.00846863,0.0496292,0.0186539,-0.0104523,-0.00675201,0.00274658,0.0107574,-0.00263214,0.00431061,-0.0111008,-0.0154114,-0.0108719,-0.00530243,-0.0196075,-0.0165176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,2,0.0110626,-0.0111008,0.0448227,0.0189209,-0.0163269,-0.00728607,0.00270844,0.00869751,-0.00202179,0.00461578,-0.00980377,-0.016098,-0.0108719,-0.00705719,-0.017662,-0.0155258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,3,0.0038147,-0.0130081,0.044899,0.0202179,-0.0115204,-0.0069809,0.00350952,0.0128174,-0.00175476,0.00850677,-0.00995636,-0.0151443,-0.00858307,-0.00606537,-0.0196075,-0.017662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
